2025/12/03 02:43:34 PM > ep 74 done. total_steps=1470 | reward=33.0 | episode_steps=33 | hours=0.005 | epsilon=0.936
2025/12/03 02:43:34 PM > ep 75 done. total_steps=1493 | reward=23.0 | episode_steps=23 | hours=0.005 | epsilon=0.935
2025/12/03 02:43:35 PM > ep 76 done. total_steps=1508 | reward=15.0 | episode_steps=15 | hours=0.005 | epsilon=0.935
2025/12/03 02:43:35 PM > ep 77 done. total_steps=1520 | reward=12.0 | episode_steps=12 | hours=0.005 | epsilon=0.934
2025/12/03 02:43:35 PM > ep 78 done. total_steps=1537 | reward=17.0 | episode_steps=17 | hours=0.005 | epsilon=0.933
2025/12/03 02:43:35 PM > ep 79 done. total_steps=1565 | reward=28.0 | episode_steps=28 | hours=0.005 | epsilon=0.932
2025/12/03 02:43:36 PM > ep 80 done. total_steps=1584 | reward=19.0 | episode_steps=19 | hours=0.005 | epsilon=0.932
2025/12/03 02:43:36 PM > ep 81 done. total_steps=1593 | reward=9.0 | episode_steps=9 | hours=0.005 | epsilon=0.931
2025/12/03 02:43:36 PM > ep 82 done. total_steps=1613 | reward=20.0 | episode_steps=20 | hours=0.005 | epsilon=0.930
2025/12/03 02:43:36 PM > ep 83 done. total_steps=1638 | reward=25.0 | episode_steps=25 | hours=0.005 | epsilon=0.929
2025/12/03 02:43:37 PM > ep 84 done. total_steps=1676 | reward=38.0 | episode_steps=38 | hours=0.006 | epsilon=0.928
2025/12/03 02:43:37 PM > ep 85 done. total_steps=1715 | reward=39.0 | episode_steps=39 | hours=0.006 | epsilon=0.926
2025/12/03 02:43:37 PM > ep 86 done. total_steps=1729 | reward=14.0 | episode_steps=14 | hours=0.006 | epsilon=0.926
2025/12/03 02:43:38 PM > ep 87 done. total_steps=1760 | reward=31.0 | episode_steps=31 | hours=0.006 | epsilon=0.924
2025/12/03 02:43:38 PM > ep 88 done. total_steps=1771 | reward=11.0 | episode_steps=11 | hours=0.006 | epsilon=0.924
2025/12/03 02:43:38 PM > ep 89 done. total_steps=1784 | reward=13.0 | episode_steps=13 | hours=0.006 | epsilon=0.923
2025/12/03 02:43:38 PM > ep 90 done. total_steps=1810 | reward=26.0 | episode_steps=26 | hours=0.006 | epsilon=0.922
2025/12/03 02:43:39 PM > ep 91 done. total_steps=1822 | reward=12.0 | episode_steps=12 | hours=0.006 | epsilon=0.922
2025/12/03 02:43:39 PM > ep 92 done. total_steps=1837 | reward=15.0 | episode_steps=15 | hours=0.006 | epsilon=0.921
2025/12/03 02:43:39 PM > ep 93 done. total_steps=1851 | reward=14.0 | episode_steps=14 | hours=0.006 | epsilon=0.920
2025/12/03 02:43:39 PM > ep 94 done. total_steps=1870 | reward=19.0 | episode_steps=19 | hours=0.006 | epsilon=0.920
2025/12/03 02:43:40 PM > ep 95 done. total_steps=1906 | reward=36.0 | episode_steps=36 | hours=0.006 | epsilon=0.918
2025/12/03 02:43:40 PM > ep 96 done. total_steps=1924 | reward=18.0 | episode_steps=18 | hours=0.006 | epsilon=0.917
2025/12/03 02:43:40 PM > ep 97 done. total_steps=1953 | reward=29.0 | episode_steps=29 | hours=0.006 | epsilon=0.916
2025/12/03 02:43:41 PM > ep 98 done. total_steps=1974 | reward=21.0 | episode_steps=21 | hours=0.007 | epsilon=0.915
2025/12/03 02:43:41 PM > ep 99 done. total_steps=1987 | reward=13.0 | episode_steps=13 | hours=0.007 | epsilon=0.915
2025/12/03 02:43:41 PM > ep 100 done. total_steps=1998 | reward=11.0 | episode_steps=11 | hours=0.007 | epsilon=0.914
2025/12/03 02:43:41 PM > ep 101 done. total_steps=2018 | reward=20.0 | episode_steps=20 | hours=0.007 | epsilon=0.914
2025/12/03 02:43:41 PM > ep 102 done. total_steps=2031 | reward=13.0 | episode_steps=13 | hours=0.007 | epsilon=0.913
2025/12/03 02:43:42 PM > ep 103 done. total_steps=2053 | reward=22.0 | episode_steps=22 | hours=0.007 | epsilon=0.912
2025/12/03 02:43:42 PM > ep 104 done. total_steps=2081 | reward=28.0 | episode_steps=28 | hours=0.007 | epsilon=0.911
2025/12/03 02:43:42 PM > ep 105 done. total_steps=2095 | reward=14.0 | episode_steps=14 | hours=0.007 | epsilon=0.911
2025/12/03 02:43:42 PM > ep 106 done. total_steps=2112 | reward=17.0 | episode_steps=17 | hours=0.007 | epsilon=0.910
2025/12/03 02:43:43 PM > ep 107 done. total_steps=2128 | reward=16.0 | episode_steps=16 | hours=0.007 | epsilon=0.909
2025/12/03 02:43:43 PM > ep 108 done. total_steps=2154 | reward=26.0 | episode_steps=26 | hours=0.007 | epsilon=0.908
2025/12/03 02:43:43 PM > ep 109 done. total_steps=2166 | reward=12.0 | episode_steps=12 | hours=0.007 | epsilon=0.908
2025/12/03 02:43:43 PM > ep 110 done. total_steps=2178 | reward=12.0 | episode_steps=12 | hours=0.007 | epsilon=0.907
2025/12/03 02:43:43 PM > ep 111 done. total_steps=2194 | reward=16.0 | episode_steps=16 | hours=0.007 | epsilon=0.907
2025/12/03 02:43:44 PM > ep 112 done. total_steps=2209 | reward=15.0 | episode_steps=15 | hours=0.007 | epsilon=0.906
2025/12/03 02:43:44 PM > ep 113 done. total_steps=2224 | reward=15.0 | episode_steps=15 | hours=0.007 | epsilon=0.905
2025/12/03 02:43:45 PM > ep 114 done. total_steps=2269 | reward=45.0 | episode_steps=45 | hours=0.008 | epsilon=0.904
2025/12/03 02:43:45 PM > ep 115 done. total_steps=2294 | reward=25.0 | episode_steps=25 | hours=0.008 | epsilon=0.903
2025/12/03 02:43:45 PM > ep 116 done. total_steps=2309 | reward=15.0 | episode_steps=15 | hours=0.008 | epsilon=0.902
2025/12/03 02:43:46 PM > ep 117 done. total_steps=2354 | reward=45.0 | episode_steps=45 | hours=0.008 | epsilon=0.900
2025/12/03 02:43:47 PM > ep 118 done. total_steps=2422 | reward=68.0 | episode_steps=68 | hours=0.008 | epsilon=0.897
2025/12/03 02:43:47 PM > ep 119 done. total_steps=2435 | reward=13.0 | episode_steps=13 | hours=0.008 | epsilon=0.897
2025/12/03 02:43:47 PM > ep 120 done. total_steps=2448 | reward=13.0 | episode_steps=13 | hours=0.008 | epsilon=0.896
2025/12/03 02:43:47 PM > ep 121 done. total_steps=2462 | reward=14.0 | episode_steps=14 | hours=0.008 | epsilon=0.896
2025/12/03 02:43:48 PM > ep 122 done. total_steps=2487 | reward=25.0 | episode_steps=25 | hours=0.009 | epsilon=0.895
2025/12/03 02:43:48 PM > ep 123 done. total_steps=2500 | reward=13.0 | episode_steps=13 | hours=0.009 | epsilon=0.894
2025/12/03 02:43:48 PM > ep 124 done. total_steps=2520 | reward=20.0 | episode_steps=20 | hours=0.009 | epsilon=0.893
2025/12/03 02:43:48 PM > ep 125 done. total_steps=2533 | reward=13.0 | episode_steps=13 | hours=0.009 | epsilon=0.893
