2025/12/04 01:00:37 PM > ep 79 done. total_steps=28287 | reward=1.0 | episode_steps=60 | hours=0.044 | epsilon=0.319
2025/12/04 01:00:40 PM > ep 80 done. total_steps=28821 | reward=1.0 | episode_steps=534 | hours=0.045 | epsilon=0.313
2025/12/04 01:00:41 PM > ep 81 done. total_steps=28964 | reward=1.0 | episode_steps=143 | hours=0.045 | epsilon=0.312
2025/12/04 01:00:42 PM > ep 82 done. total_steps=29191 | reward=1.0 | episode_steps=227 | hours=0.045 | epsilon=0.309
2025/12/04 01:00:43 PM > ep 83 done. total_steps=29335 | reward=1.0 | episode_steps=144 | hours=0.046 | epsilon=0.308
2025/12/04 01:00:47 PM > ep 84 done. total_steps=30007 | reward=1.0 | episode_steps=672 | hours=0.047 | epsilon=0.301
2025/12/04 01:00:48 PM > ep 85 done. total_steps=30161 | reward=1.0 | episode_steps=154 | hours=0.047 | epsilon=0.299
2025/12/04 01:00:49 PM > ep 86 done. total_steps=30357 | reward=1.0 | episode_steps=196 | hours=0.047 | epsilon=0.297
2025/12/04 01:00:50 PM > ep 87 done. total_steps=30524 | reward=1.0 | episode_steps=167 | hours=0.047 | epsilon=0.296
2025/12/04 01:00:50 PM > ep 88 done. total_steps=30572 | reward=1.0 | episode_steps=48 | hours=0.048 | epsilon=0.295
2025/12/04 01:00:51 PM > ep 89 done. total_steps=30719 | reward=1.0 | episode_steps=147 | hours=0.048 | epsilon=0.294
2025/12/04 01:00:52 PM > ep 90 done. total_steps=30943 | reward=1.0 | episode_steps=224 | hours=0.048 | epsilon=0.292
2025/12/04 01:00:53 PM > ep 91 done. total_steps=31093 | reward=1.0 | episode_steps=150 | hours=0.048 | epsilon=0.290
2025/12/04 01:00:53 PM > ep 92 done. total_steps=31123 | reward=1.0 | episode_steps=30 | hours=0.048 | epsilon=0.290
2025/12/04 01:00:55 PM > ep 93 done. total_steps=31632 | reward=1.0 | episode_steps=509 | hours=0.049 | epsilon=0.285
2025/12/04 01:00:56 PM > ep 94 done. total_steps=31701 | reward=1.0 | episode_steps=69 | hours=0.049 | epsilon=0.284
2025/12/04 01:00:59 PM > ep 95 done. total_steps=32279 | reward=1.0 | episode_steps=578 | hours=0.050 | epsilon=0.279
2025/12/04 01:00:59 PM > ep 96 done. total_steps=32336 | reward=1.0 | episode_steps=57 | hours=0.050 | epsilon=0.279
2025/12/04 01:01:01 PM > ep 97 done. total_steps=32691 | reward=1.0 | episode_steps=355 | hours=0.051 | epsilon=0.276
