2025/12/04 01:44:52 PM > ep 141 done. total_steps=114440 | reward=0.0 | episode_steps=1000 | hours=0.189 | epsilon=0.103
2025/12/04 01:44:52 PM > ep 142 done. total_steps=114498 | reward=1.0 | episode_steps=58 | hours=0.189 | epsilon=0.103
2025/12/04 01:44:58 PM > ep 143 done. total_steps=115498 | reward=0.0 | episode_steps=1000 | hours=0.191 | epsilon=0.103
2025/12/04 01:44:58 PM > ep 144 done. total_steps=115510 | reward=1.0 | episode_steps=12 | hours=0.191 | epsilon=0.103
2025/12/04 01:45:04 PM > ep 145 done. total_steps=116510 | reward=0.0 | episode_steps=1000 | hours=0.192 | epsilon=0.103
2025/12/04 01:45:10 PM > ep 146 done. total_steps=117510 | reward=0.0 | episode_steps=1000 | hours=0.194 | epsilon=0.103
2025/12/04 01:45:15 PM > ep 147 done. total_steps=118510 | reward=0.0 | episode_steps=1000 | hours=0.195 | epsilon=0.102
2025/12/04 01:45:21 PM > ep 148 done. total_steps=119510 | reward=0.0 | episode_steps=1000 | hours=0.197 | epsilon=0.102
2025/12/04 01:45:27 PM > ep 149 done. total_steps=120510 | reward=0.0 | episode_steps=1000 | hours=0.199 | epsilon=0.102
2025/12/04 01:45:33 PM > ep 150 done. total_steps=121510 | reward=0.0 | episode_steps=1000 | hours=0.200 | epsilon=0.102
2025/12/04 01:45:38 PM > ep 151 done. total_steps=122510 | reward=0.0 | episode_steps=1000 | hours=0.202 | epsilon=0.102
2025/12/04 01:45:38 PM > ep 152 done. total_steps=122538 | reward=1.0 | episode_steps=28 | hours=0.202 | epsilon=0.102
2025/12/04 01:45:44 PM > ep 153 done. total_steps=123538 | reward=0.0 | episode_steps=1000 | hours=0.203 | epsilon=0.102
2025/12/04 01:45:50 PM > ep 154 done. total_steps=124538 | reward=0.0 | episode_steps=1000 | hours=0.205 | epsilon=0.102
2025/12/04 01:45:55 PM > ep 155 done. total_steps=125538 | reward=0.0 | episode_steps=1000 | hours=0.206 | epsilon=0.102
2025/12/04 01:46:01 PM > ep 156 done. total_steps=126538 | reward=0.0 | episode_steps=1000 | hours=0.208 | epsilon=0.102
2025/12/04 01:46:07 PM > ep 157 done. total_steps=127538 | reward=0.0 | episode_steps=1000 | hours=0.210 | epsilon=0.102
2025/12/04 01:46:12 PM > ep 158 done. total_steps=128538 | reward=0.0 | episode_steps=1000 | hours=0.211 | epsilon=0.101
2025/12/04 01:46:18 PM > ep 159 done. total_steps=129538 | reward=0.0 | episode_steps=1000 | hours=0.213 | epsilon=0.101
2025/12/04 01:46:24 PM > ep 160 done. total_steps=130538 | reward=0.0 | episode_steps=1000 | hours=0.214 | epsilon=0.101
2025/12/04 01:46:29 PM > ep 161 done. total_steps=131538 | reward=0.0 | episode_steps=1000 | hours=0.216 | epsilon=0.101
2025/12/04 01:46:35 PM > ep 162 done. total_steps=132538 | reward=0.0 | episode_steps=1000 | hours=0.218 | epsilon=0.101
2025/12/04 01:46:41 PM > ep 163 done. total_steps=133538 | reward=0.0 | episode_steps=1000 | hours=0.219 | epsilon=0.101
2025/12/04 01:46:46 PM > ep 164 done. total_steps=134538 | reward=0.0 | episode_steps=1000 | hours=0.221 | epsilon=0.101
2025/12/04 01:46:52 PM > ep 165 done. total_steps=135538 | reward=0.0 | episode_steps=1000 | hours=0.222 | epsilon=0.101
2025/12/04 01:46:58 PM > ep 166 done. total_steps=136538 | reward=0.0 | episode_steps=1000 | hours=0.224 | epsilon=0.101
2025/12/04 01:47:03 PM > ep 167 done. total_steps=137538 | reward=0.0 | episode_steps=1000 | hours=0.225 | epsilon=0.101
2025/12/04 01:47:04 PM > ep 168 done. total_steps=137621 | reward=1.0 | episode_steps=83 | hours=0.225 | epsilon=0.101
2025/12/04 01:47:09 PM > ep 169 done. total_steps=138621 | reward=0.0 | episode_steps=1000 | hours=0.227 | epsilon=0.101
2025/12/04 01:47:15 PM > ep 170 done. total_steps=139621 | reward=0.0 | episode_steps=1000 | hours=0.229 | epsilon=0.101
2025/12/04 01:47:21 PM > ep 171 done. total_steps=140621 | reward=0.0 | episode_steps=1000 | hours=0.230 | epsilon=0.101
2025/12/04 01:47:27 PM > ep 172 done. total_steps=141621 | reward=0.0 | episode_steps=1000 | hours=0.232 | epsilon=0.101
2025/12/04 01:47:33 PM > ep 173 done. total_steps=142621 | reward=0.0 | episode_steps=1000 | hours=0.234 | epsilon=0.101
2025/12/04 01:47:38 PM > ep 174 done. total_steps=143621 | reward=0.0 | episode_steps=1000 | hours=0.235 | epsilon=0.101
2025/12/04 01:47:44 PM > ep 175 done. total_steps=144621 | reward=0.0 | episode_steps=1000 | hours=0.237 | epsilon=0.101
2025/12/04 01:47:50 PM > ep 176 done. total_steps=145621 | reward=0.0 | episode_steps=1000 | hours=0.238 | epsilon=0.101
2025/12/04 01:47:56 PM > ep 177 done. total_steps=146621 | reward=0.0 | episode_steps=1000 | hours=0.240 | epsilon=0.101
2025/12/04 01:48:01 PM > ep 178 done. total_steps=147621 | reward=0.0 | episode_steps=1000 | hours=0.241 | epsilon=0.101
2025/12/04 01:48:07 PM > ep 179 done. total_steps=148621 | reward=0.0 | episode_steps=1000 | hours=0.243 | epsilon=0.101
2025/12/04 01:48:13 PM > ep 180 done. total_steps=149621 | reward=0.0 | episode_steps=1000 | hours=0.245 | epsilon=0.101
2025/12/04 01:48:18 PM > ep 181 done. total_steps=150621 | reward=0.0 | episode_steps=1000 | hours=0.246 | epsilon=0.100
2025/12/04 01:48:24 PM > ep 182 done. total_steps=151621 | reward=0.0 | episode_steps=1000 | hours=0.248 | epsilon=0.100
2025/12/04 01:48:30 PM > ep 183 done. total_steps=152621 | reward=0.0 | episode_steps=1000 | hours=0.249 | epsilon=0.100
2025/12/04 01:48:36 PM > ep 184 done. total_steps=153621 | reward=0.0 | episode_steps=1000 | hours=0.251 | epsilon=0.100
2025/12/04 01:48:36 PM > ep 185 done. total_steps=153624 | reward=1.0 | episode_steps=3 | hours=0.251 | epsilon=0.100
2025/12/04 01:48:41 PM > ep 186 done. total_steps=154624 | reward=0.0 | episode_steps=1000 | hours=0.253 | epsilon=0.100
2025/12/04 01:48:47 PM > ep 187 done. total_steps=155624 | reward=0.0 | episode_steps=1000 | hours=0.254 | epsilon=0.100
2025/12/04 01:48:53 PM > ep 188 done. total_steps=156624 | reward=0.0 | episode_steps=1000 | hours=0.256 | epsilon=0.100
2025/12/04 01:48:58 PM > ep 189 done. total_steps=157624 | reward=0.0 | episode_steps=1000 | hours=0.257 | epsilon=0.100
2025/12/04 01:49:04 PM > ep 190 done. total_steps=158624 | reward=0.0 | episode_steps=1000 | hours=0.259 | epsilon=0.100
2025/12/04 01:49:10 PM > ep 191 done. total_steps=159624 | reward=0.0 | episode_steps=1000 | hours=0.260 | epsilon=0.100
2025/12/04 01:49:16 PM > ep 192 done. total_steps=160624 | reward=0.0 | episode_steps=1000 | hours=0.262 | epsilon=0.100
2025/12/04 01:49:21 PM > ep 193 done. total_steps=161624 | reward=0.0 | episode_steps=1000 | hours=0.264 | epsilon=0.100
2025/12/04 01:49:23 PM > ep 194 done. total_steps=161858 | reward=1.0 | episode_steps=234 | hours=0.264 | epsilon=0.100
