2025/12/04 03:53:46 PM > ep 128 done. total_steps=59261 | reward=-113.57429961906043 | episode_steps=1000 | hours=0.107 | epsilon=0.146
2025/12/04 03:53:52 PM > ep 129 done. total_steps=60261 | reward=-89.2176927504773 | episode_steps=1000 | hours=0.109 | epsilon=0.144
2025/12/04 03:53:58 PM > ep 130 done. total_steps=61261 | reward=-136.63145216367667 | episode_steps=1000 | hours=0.110 | epsilon=0.142
2025/12/04 03:54:05 PM > ep 131 done. total_steps=62261 | reward=-111.74445285081731 | episode_steps=1000 | hours=0.113 | epsilon=0.140
2025/12/04 03:54:13 PM > ep 132 done. total_steps=63261 | reward=-56.184635589639555 | episode_steps=1000 | hours=0.115 | epsilon=0.138
2025/12/04 03:54:19 PM > ep 133 done. total_steps=64261 | reward=-79.49977182209446 | episode_steps=1000 | hours=0.116 | epsilon=0.136
2025/12/04 03:54:26 PM > ep 134 done. total_steps=65261 | reward=-66.30552223968984 | episode_steps=1000 | hours=0.118 | epsilon=0.134
2025/12/04 03:54:28 PM > ep 135 done. total_steps=65529 | reward=-99.33250027290111 | episode_steps=268 | hours=0.119 | epsilon=0.134
2025/12/04 03:54:34 PM > ep 136 done. total_steps=66529 | reward=-134.67945291076467 | episode_steps=1000 | hours=0.120 | epsilon=0.132
2025/12/04 03:54:41 PM > ep 137 done. total_steps=67529 | reward=-124.13577313483718 | episode_steps=1000 | hours=0.122 | epsilon=0.131
2025/12/04 03:54:48 PM > ep 138 done. total_steps=68529 | reward=-91.68360860805579 | episode_steps=1000 | hours=0.124 | epsilon=0.129
2025/12/04 03:54:55 PM > ep 139 done. total_steps=69529 | reward=-125.14845000272254 | episode_steps=1000 | hours=0.126 | epsilon=0.128
2025/12/04 03:54:58 PM > ep 140 done. total_steps=70091 | reward=-155.49905877803118 | episode_steps=562 | hours=0.127 | epsilon=0.127
2025/12/04 03:54:59 PM > ep 141 done. total_steps=70200 | reward=-137.6626374055278 | episode_steps=109 | hours=0.127 | epsilon=0.127
2025/12/04 03:54:59 PM > ep 142 done. total_steps=70313 | reward=-181.70457885405062 | episode_steps=113 | hours=0.127 | epsilon=0.127
2025/12/04 03:55:06 PM > ep 143 done. total_steps=71313 | reward=-163.6306174166172 | episode_steps=1000 | hours=0.129 | epsilon=0.125
2025/12/04 03:55:07 PM > ep 144 done. total_steps=71571 | reward=-173.8354435100748 | episode_steps=258 | hours=0.130 | epsilon=0.125
2025/12/04 03:55:15 PM > ep 145 done. total_steps=72571 | reward=-64.59661311481815 | episode_steps=1000 | hours=0.132 | epsilon=0.124
2025/12/04 03:55:23 PM > ep 146 done. total_steps=73571 | reward=-110.74848752022568 | episode_steps=1000 | hours=0.134 | epsilon=0.123
2025/12/04 03:55:30 PM > ep 147 done. total_steps=74571 | reward=-98.06388914482099 | episode_steps=1000 | hours=0.136 | epsilon=0.122
2025/12/04 03:55:37 PM > ep 148 done. total_steps=75571 | reward=-37.64001800798495 | episode_steps=1000 | hours=0.138 | epsilon=0.121
2025/12/04 03:55:43 PM > ep 149 done. total_steps=76571 | reward=-44.872348038452685 | episode_steps=1000 | hours=0.140 | epsilon=0.120
2025/12/04 03:55:51 PM > ep 150 done. total_steps=77571 | reward=-65.89571636674656 | episode_steps=1000 | hours=0.142 | epsilon=0.119
2025/12/04 03:55:58 PM > ep 151 done. total_steps=78571 | reward=-103.36899991139562 | episode_steps=1000 | hours=0.144 | epsilon=0.118
2025/12/04 03:56:06 PM > ep 152 done. total_steps=79571 | reward=-104.3228492973235 | episode_steps=1000 | hours=0.146 | epsilon=0.117
2025/12/04 03:56:11 PM > ep 153 done. total_steps=80492 | reward=-195.27578365304254 | episode_steps=921 | hours=0.148 | epsilon=0.116
2025/12/04 03:56:18 PM > ep 154 done. total_steps=81492 | reward=-125.80554105321914 | episode_steps=1000 | hours=0.149 | epsilon=0.115
2025/12/04 03:56:25 PM > ep 155 done. total_steps=82492 | reward=-89.76238241752152 | episode_steps=1000 | hours=0.151 | epsilon=0.115
2025/12/04 03:56:31 PM > ep 156 done. total_steps=83492 | reward=-105.87532775308686 | episode_steps=1000 | hours=0.153 | epsilon=0.114
2025/12/04 03:56:38 PM > ep 157 done. total_steps=84492 | reward=-112.39883680016885 | episode_steps=1000 | hours=0.155 | epsilon=0.113
2025/12/04 03:56:45 PM > ep 158 done. total_steps=85492 | reward=-1.4630574240687118 | episode_steps=1000 | hours=0.157 | epsilon=0.113
2025/12/04 03:56:52 PM > ep 159 done. total_steps=86492 | reward=-115.39948736099237 | episode_steps=1000 | hours=0.159 | epsilon=0.112
2025/12/04 03:56:58 PM > ep 160 done. total_steps=87401 | reward=-244.78680457916664 | episode_steps=909 | hours=0.160 | epsilon=0.111
2025/12/04 03:57:03 PM > ep 161 done. total_steps=88225 | reward=-186.77030364065274 | episode_steps=824 | hours=0.162 | epsilon=0.111
2025/12/04 03:57:09 PM > ep 162 done. total_steps=89225 | reward=-97.67501555815063 | episode_steps=1000 | hours=0.164 | epsilon=0.110
2025/12/04 03:57:15 PM > ep 163 done. total_steps=90225 | reward=-77.04502505902747 | episode_steps=1000 | hours=0.165 | epsilon=0.110
2025/12/04 03:57:22 PM > ep 164 done. total_steps=91225 | reward=-81.2904293877465 | episode_steps=1000 | hours=0.167 | epsilon=0.109
2025/12/04 03:57:29 PM > ep 165 done. total_steps=92225 | reward=-159.01547681506807 | episode_steps=1000 | hours=0.169 | epsilon=0.109
2025/12/04 03:57:36 PM > ep 166 done. total_steps=93225 | reward=-143.32560264182834 | episode_steps=1000 | hours=0.171 | epsilon=0.109
2025/12/04 03:57:42 PM > ep 167 done. total_steps=94225 | reward=-100.87453747744105 | episode_steps=1000 | hours=0.173 | epsilon=0.108
2025/12/04 03:57:48 PM > ep 168 done. total_steps=95225 | reward=-7.051047438332481 | episode_steps=1000 | hours=0.174 | epsilon=0.108
