2025/12/03 01:10:13 PM > ep 114 done. total_steps=2253 | reward=18.0 | episode_steps=18 | hours=0.008 | epsilon=0.904
2025/12/03 01:10:13 PM > ep 115 done. total_steps=2264 | reward=11.0 | episode_steps=11 | hours=0.009 | epsilon=0.904
2025/12/03 01:10:13 PM > ep 116 done. total_steps=2287 | reward=23.0 | episode_steps=23 | hours=0.009 | epsilon=0.903
2025/12/03 01:10:13 PM > ep 117 done. total_steps=2298 | reward=11.0 | episode_steps=11 | hours=0.009 | epsilon=0.902
2025/12/03 01:10:13 PM > ep 118 done. total_steps=2312 | reward=14.0 | episode_steps=14 | hours=0.009 | epsilon=0.902
2025/12/03 01:10:14 PM > ep 119 done. total_steps=2332 | reward=20.0 | episode_steps=20 | hours=0.009 | epsilon=0.901
2025/12/03 01:10:14 PM > ep 120 done. total_steps=2346 | reward=14.0 | episode_steps=14 | hours=0.009 | epsilon=0.900
2025/12/03 01:10:14 PM > ep 121 done. total_steps=2397 | reward=51.0 | episode_steps=51 | hours=0.009 | epsilon=0.898
2025/12/03 01:10:15 PM > ep 122 done. total_steps=2418 | reward=21.0 | episode_steps=21 | hours=0.009 | epsilon=0.898
2025/12/03 01:10:15 PM > ep 123 done. total_steps=2440 | reward=22.0 | episode_steps=22 | hours=0.009 | epsilon=0.897
2025/12/03 01:10:16 PM > ep 124 done. total_steps=2512 | reward=72.0 | episode_steps=72 | hours=0.009 | epsilon=0.894
2025/12/03 01:10:16 PM > ep 125 done. total_steps=2530 | reward=18.0 | episode_steps=18 | hours=0.009 | epsilon=0.893
2025/12/03 01:10:16 PM > ep 126 done. total_steps=2561 | reward=31.0 | episode_steps=31 | hours=0.010 | epsilon=0.892
2025/12/03 01:10:16 PM > ep 127 done. total_steps=2578 | reward=17.0 | episode_steps=17 | hours=0.010 | epsilon=0.891
2025/12/03 01:10:17 PM > ep 128 done. total_steps=2595 | reward=17.0 | episode_steps=17 | hours=0.010 | epsilon=0.891
2025/12/03 01:10:17 PM > ep 129 done. total_steps=2608 | reward=13.0 | episode_steps=13 | hours=0.010 | epsilon=0.890
2025/12/03 01:10:17 PM > ep 130 done. total_steps=2631 | reward=23.0 | episode_steps=23 | hours=0.010 | epsilon=0.889
2025/12/03 01:10:17 PM > ep 131 done. total_steps=2657 | reward=26.0 | episode_steps=26 | hours=0.010 | epsilon=0.888
2025/12/03 01:10:18 PM > ep 132 done. total_steps=2672 | reward=15.0 | episode_steps=15 | hours=0.010 | epsilon=0.887
2025/12/03 01:10:18 PM > ep 133 done. total_steps=2691 | reward=19.0 | episode_steps=19 | hours=0.010 | epsilon=0.887
2025/12/03 01:10:18 PM > ep 134 done. total_steps=2710 | reward=19.0 | episode_steps=19 | hours=0.010 | epsilon=0.886
2025/12/03 01:10:18 PM > ep 135 done. total_steps=2736 | reward=26.0 | episode_steps=26 | hours=0.010 | epsilon=0.885
2025/12/03 01:10:19 PM > ep 136 done. total_steps=2763 | reward=27.0 | episode_steps=27 | hours=0.010 | epsilon=0.884
2025/12/03 01:10:19 PM > ep 137 done. total_steps=2809 | reward=46.0 | episode_steps=46 | hours=0.010 | epsilon=0.882
2025/12/03 01:10:20 PM > ep 138 done. total_steps=2843 | reward=34.0 | episode_steps=34 | hours=0.010 | epsilon=0.881
2025/12/03 01:10:20 PM > ep 139 done. total_steps=2867 | reward=24.0 | episode_steps=24 | hours=0.010 | epsilon=0.880
2025/12/03 01:10:21 PM > ep 140 done. total_steps=2944 | reward=77.0 | episode_steps=77 | hours=0.011 | epsilon=0.877
2025/12/03 01:10:21 PM > ep 141 done. total_steps=2992 | reward=48.0 | episode_steps=48 | hours=0.011 | epsilon=0.875
2025/12/03 01:10:21 PM > ep 142 done. total_steps=3008 | reward=16.0 | episode_steps=16 | hours=0.011 | epsilon=0.874
2025/12/03 01:10:22 PM > ep 143 done. total_steps=3019 | reward=11.0 | episode_steps=11 | hours=0.011 | epsilon=0.874
2025/12/03 01:10:22 PM > ep 144 done. total_steps=3041 | reward=22.0 | episode_steps=22 | hours=0.011 | epsilon=0.873
2025/12/03 01:10:22 PM > ep 145 done. total_steps=3070 | reward=29.0 | episode_steps=29 | hours=0.011 | epsilon=0.872
2025/12/03 01:10:22 PM > ep 146 done. total_steps=3087 | reward=17.0 | episode_steps=17 | hours=0.011 | epsilon=0.871
2025/12/03 01:10:23 PM > ep 147 done. total_steps=3099 | reward=12.0 | episode_steps=12 | hours=0.011 | epsilon=0.871
2025/12/03 01:10:23 PM > ep 148 done. total_steps=3114 | reward=15.0 | episode_steps=15 | hours=0.011 | epsilon=0.870
2025/12/03 01:10:23 PM > ep 149 done. total_steps=3174 | reward=60.0 | episode_steps=60 | hours=0.011 | epsilon=0.868
2025/12/03 01:10:24 PM > ep 150 done. total_steps=3220 | reward=46.0 | episode_steps=46 | hours=0.012 | epsilon=0.866
2025/12/03 01:10:24 PM > ep 151 done. total_steps=3236 | reward=16.0 | episode_steps=16 | hours=0.012 | epsilon=0.866
2025/12/03 01:10:25 PM > ep 152 done. total_steps=3306 | reward=70.0 | episode_steps=70 | hours=0.012 | epsilon=0.863
2025/12/03 01:10:25 PM > ep 153 done. total_steps=3337 | reward=31.0 | episode_steps=31 | hours=0.012 | epsilon=0.862
2025/12/03 01:10:26 PM > ep 154 done. total_steps=3354 | reward=17.0 | episode_steps=17 | hours=0.012 | epsilon=0.861
2025/12/03 01:10:26 PM > ep 155 done. total_steps=3372 | reward=18.0 | episode_steps=18 | hours=0.012 | epsilon=0.860
2025/12/03 01:10:26 PM > ep 156 done. total_steps=3401 | reward=29.0 | episode_steps=29 | hours=0.012 | epsilon=0.859
